[Header]\r\n[Footer]\r\n[Header]\r\n2010-02-20 22:10:21,137 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,892 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:51,902 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:52,062 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:52,062 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:52,062 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:52,222 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:52,222 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:52,222 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:52,332 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:52,332 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:52,342 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:52,453 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:52,453 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:52,453 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:52,563 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:34:52,573 [1] INFO  PDFv2.connect Closed
2010-02-20 22:34:52,573 [1] INFO  PDFv2.connect Closed
[Footer]\r\n[Header]\r\n[Footer]\r\n[Header]\r\n2010-02-20 22:36:10,074 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:36:10,114 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:10,114 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:29,292 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:36:29,302 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:29,302 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:29,582 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:36:29,582 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:29,582 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:32,647 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:36:32,657 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:32,657 [1] INFO  PDFv2.connect Closed
2010-02-20 22:36:32,927 [1] INFO  PDFv2.connect OTVORENE
2010-02-20 22:36:32,927 [1] INFO  PDFv2.connect Closed
